category_id,category_group,category_desc
4bf58dd8d48988d1dd931735,Food,Soup Place
4bf58dd8d48988d14f941735,Food,Southern / Soul Food Restaurant
4bf58dd8d48988d150941735,Food,Spanish Restaurant
4bf58dd8d48988d14d941735,Food,Paella Restaurant
4bf58dd8d48988d1db931735,Food,Tapas Restaurant
5413605de4b0ae91d18581a9,Food,Sri Lankan Restaurant
4bf58dd8d48988d1cc941735,Food,Steakhouse
4bf58dd8d48988d158941735,Food,Swiss Restaurant
4bf58dd8d48988d1dc931735,Food,Tea Room
56aa371be4b08b9a8d573538,Food,Theme Restaurant
57558b36e4b065ecebd306dd,Food,Truck Stop
4f04af1f2fb6e1c99f3db0bb,Food,Turkish Restaurant
530faca9bcbc57f1066bc2f3,Food,Borek Place
530faca9bcbc57f1066bc2f4,Food,Cigkofte Place
5283c7b4e4b094cb91ec88d8,Food,Doner Restaurant
5283c7b4e4b094cb91ec88d9,Food,Gozleme Place
5283c7b4e4b094cb91ec88db,Food,Kofte Place
5283c7b4e4b094cb91ec88d6,Food,Kokoreç Restaurant
56aa371be4b08b9a8d573535,Food,Kumpir Restaurant
56aa371be4b08b9a8d5734bd,Food,Kumru Restaurant
5283c7b4e4b094cb91ec88d5,Food,Manti Place
5283c7b4e4b094cb91ec88da,Food,Meyhane
530faca9bcbc57f1066bc2f2,Food,Pide Place
58daa1558bbb0b01f18ec1df,Food,Pilavcı
58daa1558bbb0b01f18ec1dc,Food,Söğüş Place
56aa371be4b08b9a8d5734bf,Food,Tantuni Restaurant
56aa371be4b08b9a8d5734c1,Food,Turkish Coffeehouse
5283c7b4e4b094cb91ec88d4,Food,Turkish Home Cooking Restaurant
58daa1558bbb0b01f18ec1e2,Food,Çöp Şiş Place
52e928d0bcbc57f1066b7e96,Food,Ukrainian Restaurant
52e928d0bcbc57f1066b7e9a,Food,Varenyky restaurant
52e928d0bcbc57f1066b7e9b,Food,West-Ukrainian Restaurant
4bf58dd8d48988d1d3941735,Food,Vegetarian / Vegan Restaurant
4bf58dd8d48988d14c941735,Food,Wings Joint
4d4b7105d754a06376d81259,Night Life,Nightlife Spot
4bf58dd8d48988d116941735,Night Life,Bar
52e81612bcbc57f1066b7a0d,Night Life,Beach Bar
56aa371ce4b08b9a8d57356c,Night Life,Beer Bar
4bf58dd8d48988d117941735,Night Life,Beer Garden
52e81612bcbc57f1066b7a0e,Night Life,Champagne Bar
4bf58dd8d48988d11e941735,Night Life,Cocktail Bar
4bf58dd8d48988d118941735,Night Life,Dive Bar
4bf58dd8d48988d1d8941735,Night Life,Gay Bar
4bf58dd8d48988d119941735,Night Life,Hookah Bar
4bf58dd8d48988d1d5941735,Night Life,Hotel Bar
4bf58dd8d48988d120941735,Night Life,Karaoke Bar
4bf58dd8d48988d11b941735,Night Life,Pub
4bf58dd8d48988d11c941735,Night Life,Sake Bar
4bf58dd8d48988d1d4941735,Night Life,Speakeasy
4bf58dd8d48988d11d941735,Night Life,Sports Bar
56aa371be4b08b9a8d57354d,Night Life,Tiki Bar
4bf58dd8d48988d122941735,Night Life,Whisky Bar
4bf58dd8d48988d123941735,Night Life,Wine Bar
50327c8591d4c4b30a586d5d,Night Life,Brewery
4bf58dd8d48988d121941735,Night Life,Lounge
53e510b7498ebcb1801b55d4,Night Life,Night Market
4bf58dd8d48988d11f941735,Night Life,Nightclub
4bf58dd8d48988d11a941735,Night Life,Other Nightlife
4bf58dd8d48988d1d6941735,Night Life,Strip Club
4f4528bc4b90abdf24c9de85,Sports,Athletics & Sports
52e81612bcbc57f1066b7a2b,Sports,Badminton Court
4bf58dd8d48988d1e8941735,Sports,Baseball Field
4bf58dd8d48988d1e1941735,Sports,Basketball Court
52e81612bcbc57f1066b7a2f,Sports,Bowling Green
56aa371be4b08b9a8d57351a,Sports,Curling Ice
4bf58dd8d48988d1e6941735,Sports,Golf Course
58daa1558bbb0b01f18ec1b0,Sports,Golf Driving Range
4bf58dd8d48988d175941735,Sports,Gym / Fitness Center
52f2ab2ebcbc57f1066b8b47,Sports,Boxing Gym
503289d391d4c4b30a586d6a,Sports,Climbing Gym
52f2ab2ebcbc57f1066b8b49,Sports,Cycle Studio
4bf58dd8d48988d105941735,Sports,Gym Pool
52f2ab2ebcbc57f1066b8b48,Sports,Gymnastics Gym
4bf58dd8d48988d176941735,Sports,Gym
4bf58dd8d48988d101941735,Sports,Martial Arts Dojo
58daa1558bbb0b01f18ec203,Sports,Outdoor Gym
5744ccdfe4b0c0459246b4b2,Sports,Pilates Studio
4bf58dd8d48988d106941735,Sports,Track
590a0744340a5803fd8508c3,Sports,Weight Loss Center
4bf58dd8d48988d102941735,Sports,Yoga Studio
4f452cd44b9081a197eba860,Sports,Hockey Field
56aa371be4b08b9a8d57352c,Sports,Hockey Rink
5032829591d4c4b30a586d5e,Sports,Paintball Field
52e81612bcbc57f1066b7a2c,Sports,Rugby Pitch
4bf58dd8d48988d167941735,Sports,Skate Park
4bf58dd8d48988d168941735,Sports,Skating Rink
4cce455aebf7b749d5e191f5,Sports,Soccer Field
52e81612bcbc57f1066b7a2e,Sports,Sports Club
52e81612bcbc57f1066b7a2d,Sports,Squash Court
4e39a956bd410d7aed40cbc3,Sports,Tennis Court
4eb1bf013b7b6f98df247e07,Sports,Volleyball Court
52e81612bcbc57f1066b7a28,Entertainment,Bathing Area
56aa371be4b08b9a8d573544,Nature,Bay
